,collector,country,un_subregion,so_region,age_range,age_midpoint,gender,self_identification,occupation,occupation_group,experience_range,experience_midpoint,salary_range,salary_midpoint,big_mac_index,tech_do,tech_want,aliens,programming_ability,employment_status,industry,company_size_range,team_size_range,women_on_team,remote,job_satisfaction,job_discovery,dev_environment,commit_frequency,hobby,dogs_vs_cats,desktop_os,unit_testing,rep_range,visit_frequency,why_learn_new_tech,education,open_to_new_job,new_job_value,job_search_annoyance,interview_likelihood,how_to_improve_interview_process,star_wars_vs_star_trek,agree_tech,agree_notice,agree_problemsolving,agree_diversity,agree_adblocker,agree_alcohol,agree_loveboss,agree_nightcode,agree_legacy,agree_mars,important_variety,important_control,important_sameend,important_newtech,important_buildnew,important_buildexisting,important_promotion,important_companymission,important_wfh,important_ownoffice,developer_challenges,why_stack_overflow
28994,Facebook,Belgium,Western Europe,Western Europe,25-29,27.0,Male,Developer; Engineer; Programmer; Manager,,,,,,,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29038,Facebook,Belgium,Western Europe,Western Europe,20-24,22.0,Male,Developer; Engineer; Programmer,,,2 - 5 years,3.5,"$20,000 - $30,000",25000.0,4.25,PHP; SQL; SQL Server,LAMP; PHP; SQL; SQL Server,Yes,6.0,Employed full-time,Consulting,"5,000-9,999 employees",10-14 people,2,Never,I'm neither satisfied nor dissatisfied,Contacted by company (in-house recruiter),Notepad++; Vim,Multiple times a day,5-10 hours per week,Cats,Windows 10,I don't know,I'm not sure,Multiple times a day,I want to be a better developer,I'm self-taught,I am not interested in new job opportunities,Salary; Office location; Company reputation,Finding an open job that I'm qualified for,10%,Show me more live code; Fewer brainteasers; Prepare me for who I will be speaking with,Star Wars; Star Trek,Agree somewhat,Agree somewhat,Agree somewhat,Neutral,Agree completely,Disagree completely,Neutral,Agree somewhat,Neutral,Disagree completely,This is somewhat important,This is very important,This is very important,This is very important,This is very important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,Non-technical management; Interacting with non-technical people; Interacting with stupid people,To get help for my job; Beacause I love to learn
29186,Facebook,Belgium,Western Europe,Western Europe,30-34,32.0,Male,Sr. Developer; Rockstar; Ninja,Mobile developer,"Mobile Dev (Android, iOS, WP & Multi-Platform)",6 - 10 years,8.0,"$20,000 - $30,000",25000.0,4.25,C#; JavaScript; SQL Server; Windows Phone,"C#; Cloud (AWS, GAE, Azure, etc.); Python; SQL Server; Windows Phone",Other (please specify),7.0,Employed full-time,Consulting,"1,000-4,999 employees",5-9 people,0,Part-time remote,I love my job,Career fair,Notepad++; Visual Studio; Visual Studio Code; Xamarin,Multiple times a day,5-10 hours per week,Dogs,Windows 10,Other (please specify),I'm not sure,Multiple times a day,I'm curious,"Part-time program (e.g. night school); Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Mentorship program (e.g. Flatiron School, GDI, etc.); Industry certification program","I'm not actively looking, but I am open to new opportunities",Salary; Tech stack; Company culture,Writing my CV and keeping it updated,0%,Offer remote interviews (e.g. via video conference); Show me the space in which I will work; Fewer brainteasers,Star Wars,Agree completely,Agree somewhat,Agree completely,Neutral,Agree completely,Agree somewhat,Agree completely,Agree completely,Disagree somewhat,Disagree completely,This is somewhat important,This is somewhat important,I don't care about this,This is very important,This is very important,This is very important,This is very important,This is very important,I don't care about this,I don't care about this,Outdated technologies; Interacting with stupid people; Unspecific requirements,To get help for my job; To communicate with others like me; To receive help on my personal projects
29227,Facebook,Belgium,Western Europe,Western Europe,25-29,27.0,Male,Developer,Front-end web developer,Front-end web developer,Less than 1 year,0.5,"$20,000 - $30,000",25000.0,4.25,JavaScript; WordPress,JavaScript; Node.js; PHP; SQL,Yes,3.0,Employed full-time,Media / Advertising,100-499 employees,15-20 people,5,Never,I'm somewhat satisfied with my job,I knew I wanted to work here. I sought out the opportunity directly,Sublime; Vim,A couple times a week,1-2 hours per week,Cats,Mac OS X,I don't know,I don't have an account,Very rarely,I want to be a better developer,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.)",I am not interested in new job opportunities,Ability to make or influence important decisions; Company culture; Building something that's significant,Writing cover letters,10%,Show me more live code; Prepare me for who I will be speaking with,Star Wars; Star Trek,Agree completely,Agree somewhat,Agree completely,Agree completely,Agree somewhat,Agree somewhat,Neutral,Neutral,Disagree somewhat,Disagree somewhat,This is very important,This is somewhat important,I don't care about this,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,Unrealistic expectations; Changing requirements,To get help for my job; To give help to others; To receive help on my personal projects
29248,Facebook,Belgium,Western Europe,Western Europe,< 20,16.0,Male,Manager; Rockstar; Expert,,,,,,,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29290,Facebook,Belgium,Western Europe,Western Europe,40-49,44.5,Male,Sr. Developer; Rockstar; Guru,Full-stack web developer,Full-stack web developer,11+ years,13.0,"$60,000 - $70,000",65000.0,4.25,AngularJS; C#; Cordova; JavaScript,AngularJS; C#; Cordova; JavaScript,Yes,9.0,Employed full-time,Government,"10,000+ employees",5-9 people,0,I rarely work remotely,I'm neither satisfied nor dissatisfied,"Other job website e.g. Indeed, Monster, Dice, Xing, etc.",Atom; Visual Studio; Visual Studio Code,Multiple times a day,1-2 hours per week,Other (please specify),Windows 10,Yes,"1,001 - 5,000",Once a week,I want to be a better developer,I'm self-taught; On-the-job training; Industry certification program; B.S. in Computer Science (or related field),I am not interested in new job opportunities,Salary; Ability to make or influence important decisions; Health insurance; Tech stack; Work/life balance; Company culture; Remote working option; Flexible work hours,Writing my CV and keeping it updated,50%,Offer remote interviews (e.g. via video conference); Prepare me for who I will be speaking with,Star Wars,Agree somewhat,Agree completely,Agree completely,Neutral,Disagree completely,Disagree completely,Agree somewhat,Agree completely,Neutral,Disagree completely,This is very important,This is very important,This is somewhat important,This is very important,This is very important,This is very important,This is somewhat important,This is very important,This is very important,This is somewhat important,Poor team dynamics; Inefficient development processes; Fragile code base; Unrealistic expectations; Corporate policies; Outdated technologies; Non-technical management; Interacting with stupid people; Poor infrastructure or equipment; Changing requirements,To get help for my job; To receive help on my personal projects
29311,Facebook,Belgium,Western Europe,Western Europe,30-34,32.0,Male,Developer; Engineer,,,,,,,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29338,Facebook,Belgium,Western Europe,Western Europe,25-29,27.0,Male,Sr. Developer; Ninja,Back-end web developer,Back-end web developer,11+ years,13.0,"$140,000 - $150,000",145000.0,4.25,Arduino / Raspberry Pi; AngularJS; C; C++; Go; Java; JavaScript; MongoDB; Node.js; PHP; ReactJS; Redis; SQL; Swift,Go; JavaScript; PHP; ReactJS,Yes,7.0,Self-employed,Other (please specify),10-19 employees,1-4 people,2,I rarely work remotely,I love my job,Self-employed - I created my own job,Sublime; Vim; PhpStorm; Xcode,Multiple times a day,5-10 hours per week,Cats,Mac OS X,Yes,2 - 100,Multiple times a day,To pursue career goals,I'm self-taught,I am not interested in new job opportunities,Company culture; Company reputation,Writing cover letters,10%,,,Agree completely,Agree somewhat,Agree completely,Neutral,Disagree completely,Agree somewhat,Agree somewhat,Agree completely,Agree completely,Disagree somewhat,This is somewhat important,This is very important,I don't care about this,This is very important,This is very important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,Inefficient development processes; Fragile code base; Poor scheduling,To get help for my job; Beacause I love to learn
29374,Facebook,Belgium,Western Europe,Western Europe,25-29,27.0,Male,Developer; Engineer; Programmer,Full-stack web developer,Full-stack web developer,1 - 2 years,1.5,,,4.25,JavaScript; Ruby; SQL; WordPress,iOS; JavaScript; MongoDB; Objective-C; ReactJS; Rust; Swift,Yes,6.0,Self-employed,Consulting,,1-4 people,,Part-time remote,I'm neither satisfied nor dissatisfied,A friend referred me,Sublime; Xcode,Multiple times a day,2-5 hours per week,Dogs,Mac OS X,I don't know,1,Once a day,I want to be a better developer,"I'm self-taught; Full-time, intensive program (e.g. ""boot-camp""); Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Some college coursework in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Company culture; Company reputation; Remote working option,Writing cover letters,20%,Offer remote interviews (e.g. via video conference); Prepare me for who I will be speaking with,Star Wars,Agree somewhat,Agree somewhat,Agree completely,Agree somewhat,Agree completely,Disagree completely,Agree somewhat,Agree completely,Neutral,Disagree completely,I don't care about this,This is very important,I don't care about this,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is very important,I don't care about this,Poor documentation; Corporate policies; Unspecific requirements,To get help for my job; To receive help on my personal projects; Beacause I love to learn
29457,Facebook,Belgium,Western Europe,Western Europe,< 20,16.0,Male,Programmer,Student,Student,1 - 2 years,1.5,,,4.25,C; C++; Java; Python,Android; iOS,No,5.0,I'm a student,,,,,,,,Eclipse,A couple times a week,1-2 hours per week,Dogs,Ubuntu,Yes,I don't have an account,Once a week,I'm curious,"I'm self-taught; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Some college coursework in Computer Science (or related field)",I am not interested in new job opportunities,,,,,Star Wars,,,,,,,,,,,,,,,,,,,,,,
29921,Facebook,Belgium,Western Europe,Western Europe,25-29,27.0,Female,Developer,Full-stack web developer,Full-stack web developer,2 - 5 years,3.5,"$40,000 - $50,000",45000.0,4.25,AngularJS; PHP; Ruby,iOS; ReactJS; Ruby,No,7.0,Employed full-time,Education,10-19 employees,1-4 people,1,Part-time remote,I'm somewhat satisfied with my job,A friend referred me,Sublime,Multiple times a day,2-5 hours per week,Cats,Mac OS X,Yes,2 - 100,Multiple times a day,I'm curious,"I'm self-taught; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Some college coursework in Computer Science (or related field)",I am not interested in new job opportunities,Company culture; Building something that's significant; Remote working option,The interview process,0%,Show me more live code; Offer remote interviews (e.g. via video conference); Introduce me to the team; Prepare me for who I will be speaking with,,Agree somewhat,Agree completely,Agree completely,Agree completely,Agree completely,Disagree completely,Neutral,Disagree somewhat,Disagree somewhat,Disagree completely,This is somewhat important,This is very important,I don't care about this,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,This is very important,This is very important,I don't care about this,Inefficient development processes; Poor scheduling; Poor documentation,To get help for my job; Beacause I love to learn
30054,Facebook,Belgium,Western Europe,Western Europe,20-24,22.0,Male,Developer; Engineer; Programmer; Manager; Full-stack Developer,other,,2 - 5 years,3.5,"$40,000 - $50,000",45000.0,4.25,AngularJS; Java; JavaScript; LAMP; MongoDB; Node.js; PHP; SQL,AngularJS; JavaScript; Node.js,Yes,8.0,Employed full-time,Other (please specify),1-4 employees,1-4 people,0,I rarely work remotely,I love my job,Contacted by external recruiter,Vim; NetBeans,Multiple times a day,5-10 hours per week,Dogs,Ubuntu,I don't know,I don't have an account,Multiple times a day,I want to be a better developer,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Some college coursework in Computer Science (or related field); B.A. in Computer Science (or related field)",I am not interested in new job opportunities,Salary; Work/life balance; Opportunity for advancement; Office location; Quality of colleagues; Company culture; Company reputation; Remote working option; Flexible work hours,Searching for a job that seems interesting,80%,Show me more live code; Offer remote interviews (e.g. via video conference); Introduce me to the boss; Introduce me to the team; interview_coffee; Show me the space in which I will work; Prepare me for who I will be speaking with,,Agree somewhat,Disagree somewhat,Agree completely,Neutral,Agree completely,Agree somewhat,Neutral,Disagree completely,Disagree somewhat,Agree completely,This is somewhat important,This is very important,This is somewhat important,This is very important,This is very important,I don't care about this,This is very important,This is very important,This is somewhat important,I don't care about this,Outdated technologies,To get help for my job; Because I can't do my job without it; To receive help on my personal projects; Beacause I love to learn
